Index,Quantity,Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,100,1276-1934-1-ND,CAP CER 0.1UF 50V 10% X7R 0603,,0,0.01250,$1.25
2,100,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,,0,0.02090,$2.09
3,100,2GRCT-ND,RES SMD 2.2 OHM 5% 1/10W 0603,,0,0.00450,$0.45
4,100,2ARCT-ND,RES SMD 2.2 OHM 5% 1/8W 0805,,0,0.00730,$0.73
5,100,311-47KGRCT-ND,RES SMD 47K OHM 5% 1/10W 0603,,0,0.00450,$0.45
6,100,311-47KARCT-ND,RES SMD 47K OHM 5% 1/8W 0805,,0,0.00730,$0.73
7,100,311-470GRCT-ND,RES SMD 470 OHM 5% 1/10W 0603,,0,0.00450,$0.45
8,100,311-470ARCT-ND,RES SMD 470 OHM 5% 1/8W 0805,,0,0.00730,$0.73
9,50,445-6386-1-ND,FIXED IND 100NH 850MA 140 MOHM,,50,0.09760,$4.88
10,50,445-6395-1-ND,FIXED IND 100NH 1.15A 70 MOHM,,0,0.08660,$4.33
11,50,445-3167-1-ND,FIXED IND 1UH 900MA 100 MOHM SMD,,0,0.08660,$4.33
12,50,445-3163-1-ND,FIXED IND 1UH 600MA 150 MOHM SMD,,0,0.09760,$4.88
13,50,445-6762-1-ND,FIXED IND 10UH 500MA 300 MOHM,,0,0.09760,$4.88
14,50,445-3608-1-ND,FIXED IND 10UH 400MA 360 MOHM,,0,0.18560,$9.28
15,5,811-2435-1-ND,FIXED IND 680UH 300MA 2.64 OHM,,0,0.84000,$4.20
16,3,553-2030-1-ND,INDUCT ARRAY 2 COIL 10UH SMD,,0,2.33000,$6.99
17,100,2KGRCT-ND,RES SMD 2.2K OHM 5% 1/10W 0603,,0,0.00450,$0.45
18,100,2KARCT-ND,RES SMD 2.2K OHM 5% 1/8W 0805,,0,0.00730,$0.73
19,3,A97548-ND,CONN BNC JACK STR 50 OHM SOLDER,,0,1.74000,$5.22
20,200,1276-1009-1-ND,CAP CER 10000PF 50V 10% X7R 0603,C2 C3,0,0.00840,$1.68
21,10,F6350CT-ND,TVS DIODE 36VWM 52VC SOT23-3,D1 D2,0,0.49400,$4.94
22,10,1276-3386-1-ND,CAP CER 10UF 50V 10% X7R 1210,C4,0,0.87300,$8.73
23,100,1276-1029-1-ND,CAP CER 1UF 50V 10% X7R 0805,C1,0,0.10800,$10.80
24,3,XC1911CT-ND,CRYSTAL 32.7680KHZ 12.5PF SMD,,0,0.94000,$2.82
25,1,ATUC256L4U-AUT-ND,IC MCU 32BIT 128KB FLASH 48TQFP,,0,10.25000,$10.25
26,3,SRR1260A-1R0YCT-ND,FIXED IND 1UH 9.4A 7.8 MOHM SMD,,0,1.10000,$3.30
27,5,568-3529-1-ND,IC USB DUAL ESD PROTECT 6TSOP,,0,0.47000,$2.35
28,5,609-4613-1-ND,CONN USB MICRO B RECPT SMT R/A,P4,5,0.46000,$2.30
,,,,,,Subtotal,$104.22